topic_0,topic_1,topic_2,topic_3,topic_4,label
0.0081057595,0.0082320785,0.008087192,0.1303088,0.84526616,alcohol_1
0.60338575,0.01558126,0.01547888,0.35006103,0.015493082,alcohol_1
0.62382096,0.018417304,0.018302271,0.321128,0.018331453,alcohol_1
0.01381994,0.013692443,0.013468264,0.9454233,0.013596105,alcohol_0
0.0250189,0.89958185,0.025144197,0.025064211,0.02519082,alcohol_0
0.0112959705,0.011274669,0.011262342,0.954896,0.0112709915,alcohol_1
0.02010363,0.91948676,0.020084877,0.020097459,0.020227278,alcohol_0
0.014336318,0.014882779,0.014513186,0.36413342,0.5921343,alcohol_1
0.033442065,0.8656194,0.03362508,0.03341388,0.033899534,alcohol_0
0.018185567,0.92663825,0.018608052,0.018310498,0.018257624,alcohol_1
0.016755968,0.016742243,0.01670792,0.9330884,0.016705416,alcohol_1
0.025386047,0.025753362,0.28853583,0.02549782,0.63482696,alcohol_0
0.004394518,0.9823419,0.0044016694,0.0044638664,0.004398014,alcohol_0
0.025395917,0.288838,0.02505464,0.025569797,0.6351417,alcohol_0
0.025198642,0.02549806,0.025220437,0.89868695,0.025395945,alcohol_1
0.0038504354,0.0039024595,0.003846314,0.0038479725,0.98455286,alcohol_0
0.008161093,0.008305146,0.008138404,0.6030509,0.3723445,alcohol_0
0.040617622,0.040351085,0.040307518,0.04014987,0.8385739,alcohol_0
0.025261823,0.025683556,0.025025876,0.025079494,0.89894927,alcohol_0
0.018460426,0.018552471,0.018786427,0.9259338,0.0182669,alcohol_1
0.0050691115,0.6886264,0.00505841,0.035379425,0.26586658,alcohol_0
0.0077621937,0.007815167,0.44529042,0.0077373115,0.5313949,alcohol_0
0.018227238,0.43826747,0.01821941,0.018870873,0.506415,alcohol_0
0.003567108,0.21492669,0.36254233,0.41540518,0.0035586585,alcohol_1
0.028850526,0.028672699,0.02873378,0.88510954,0.028633455,alcohol_1
0.01564783,0.40165544,0.17341648,0.3935074,0.01577285,alcohol_0
0.0034689065,0.0035109995,0.0034951335,0.9860468,0.0034781669,alcohol_1
0.010046832,0.2651708,0.009628493,0.70553327,0.009620604,alcohol_1
0.033340298,0.8658422,0.033353552,0.03369935,0.03376458,alcohol_0
0.24859096,0.7103939,0.013536676,0.013751797,0.013726698,alcohol_0
0.012594736,0.94956815,0.01252789,0.012612975,0.012696199,alcohol_0
0.015485471,0.01564981,0.015423179,0.937863,0.015578535,alcohol_0
0.008760805,0.9648165,0.00876016,0.008778236,0.008884232,alcohol_0
0.0021374337,0.0021403444,0.0021392684,0.9914462,0.0021367627,alcohol_1
0.050166037,0.050839536,0.05025039,0.050005574,0.7987385,alcohol_0
0.025055299,0.026074946,0.025055967,0.025367772,0.898446,alcohol_1
0.010956889,0.72525465,0.010722618,0.010702997,0.24236287,alcohol_0
0.015580012,0.015591009,0.015499958,0.015517174,0.9378118,alcohol_0
0.006375421,0.5068237,0.00628401,0.006502802,0.47401407,alcohol_0
0.0077477866,0.9687766,0.0078075035,0.007844672,0.007823478,alcohol_0
0.03419576,0.6986654,0.034123722,0.034002393,0.19901277,alcohol_0
0.028673274,0.029000122,0.028610379,0.88501716,0.028699016,alcohol_1
0.040065598,0.6405525,0.2388543,0.040229335,0.04029828,alcohol_0
